省份,大学,类型,公或民办,本或专科,985,211,双一流,城市,隶属于,地址
北京,北京经济技术职业学院,财经类,民办,专科（高职）,2,2,,北京市,北京市教委,北京东燕郊开发区北京经济技术职业学院
北京,中国人民解放军陆军防化学院,军事类,公办,普通本科,2,2,,北京市,解放军总参谋部,北京市昌平区
北京,北京经济管理职业学院,财经类,公办,专科（高职）,2,2,,北京市,北京市,"望京校区：北京市朝阳区花家地街12号,固安校区：京开高速永定河桥南800米路东"
北京,北京北大方正软件职业技术学院,综合类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市通州区东方大学城
北京,北京汇佳职业学院,语言类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市昌平区创新路20号
北京,北京交通运输职业学院,综合类,公办,专科（高职）,2,2,,北京市,北京市,"北京市大兴区黄村清源路北（大兴校区）,北京市海淀区西三旗悦秀路南口（海淀校区）"
北京,北京警察学院,政法类,公办,普通本科,2,2,,北京市,北京市,北京市昌平区南口镇南涧路11号
北京,中国戏曲学院,艺术类,公办,普通本科,2,2,,北京市,北京市,北京市丰台区万泉寺400号
北京,中国音乐学院,艺术类,公办,普通本科,2,2,双一流,北京市,北京市,北京市朝阳区安翔路1号
北京,北京戏曲艺术职业学院,艺术类,公办,专科（高职）,2,2,,北京市,北京市,北京市丰台区马家堡东里8号
北京,北京社会管理职业学院,政法类,公办,专科（高职）,2,2,,北京市,北京市,北京东燕郊开发区燕灵路2号
北京,北京卫生职业学院,医药类,公办,专科（高职）,2,2,,北京市,北京市,北京市通州区九棵树东路128号
北京,中国消防救援学院,军事类,公办,普通本科,2,2,,北京市,应急管理部,北京市昌平区南雁路4号
北京,北京艺术传媒职业学院,财经类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市海淀区聂各庄东路10号
北京,北京体育职业学院,体育类,公办,专科（高职）,2,2,,北京市,北京市,"院本部：北京市丰台区光彩北路4号,分校区：北京市大兴区芦城乡政府路21号"
北京,中国人民解放军国防大学,军事类,公办,普通本科,2,2,,北京市,中国共产党中央军事委员会,
北京,北京网络职业学院,理工类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市房山区窦大路12号
北京,中国人民武装警察部队特种警察学院,军事类,公办,普通本科,2,2,,北京市,,
天津,天津大学,理工类,公办,普通本科,1,1,双一流,天津市,教育部,天津市南开区卫津路92号
天津,南开大学,综合类,公办,普通本科,1,1,双一流,天津市,教育部,天津市南开区卫津路94号
